;SEASON;PLAYER_ID;FIRST_NAME;LAST_NAME;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_WO_SHOES_FT_IN;HEIGHT_W_SHOES;HEIGHT_W_SHOES_FT_IN;WEIGHT;WINGSPAN;WINGSPAN_FT_IN;STANDING_REACH;STANDING_REACH_FT_IN;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT;BENCH_PRESS;SPOT_FIFTEEN_CORNER_LEFT;SPOT_FIFTEEN_BREAK_LEFT;SPOT_FIFTEEN_TOP_KEY;SPOT_FIFTEEN_BREAK_RIGHT;SPOT_FIFTEEN_CORNER_RIGHT;SPOT_COLLEGE_CORNER_LEFT;SPOT_COLLEGE_BREAK_LEFT;SPOT_COLLEGE_TOP_KEY;SPOT_COLLEGE_BREAK_RIGHT;SPOT_COLLEGE_CORNER_RIGHT;SPOT_NBA_CORNER_LEFT;SPOT_NBA_BREAK_LEFT;SPOT_NBA_TOP_KEY;SPOT_NBA_BREAK_RIGHT;SPOT_NBA_CORNER_RIGHT;OFF_DRIB_FIFTEEN_BREAK_LEFT;OFF_DRIB_FIFTEEN_TOP_KEY;OFF_DRIB_FIFTEEN_BREAK_RIGHT;OFF_DRIB_COLLEGE_BREAK_LEFT;OFF_DRIB_COLLEGE_TOP_KEY;OFF_DRIB_COLLEGE_BREAK_RIGHT;ON_MOVE_FIFTEEN;ON_MOVE_COLLEGE;Year
0;2018;1628959;Rawle;Alkins;Rawle Alkins;SG;74,75;6' 2.75'';76,25;6' 4.25'';217.4;80,75;6' 8.75'';99,0;8' 3'';8,9;8,5;10,0;32,5;40,5;11,5;3,09;3,15;10.0;2-5;4-5;3-5;4-5;3-5;;;;;;1-5;4-5;3-5;5-5;2-5;2-4;1-4;2-4;;;;27-34;;2018
1;2018;1628960;Grayson;Allen;Grayson Allen;SG;75,0;6' 3'';76,5;6' 4.5'';198;79,25;6' 7.25'';97,0;8' 1'';5,55;8,25;10,0;32,5;40,5;10,31;3,04;3,15;;;;;;;;;;;;;;;;;;;;;;;;;2018
2;2018;1628961;Kostas;Antetokounmpo;Kostas Antetokounmpo;PF;81,0;6' 9'';82,5;6' 10.5'';194.8;86,25;7' 2.25'';110,0;9' 2'';5,0;9,25;9,5;29,5;35,0;12,48;3,48;3,21;0.0;3-5;2-5;2-5;3-5;3-5;;;;;;2-5;1-5;3-5;3-5;4-5;2-4;1-4;1-4;;;;15-30;;2018
3;2018;1628962;Udoka;Azubuike;Udoka Azubuike;C;82,0;6' 10'';84,25;7' 0.25'';273.8;91,0;7' 7'';112,5;9' 4.5'';7,95;9,5;10,0;31,0;31,5;12,97;3,65;3,12;11.0;;;;;;;;;;;;;;;;;;;;;;;;2018
4;2018;1628964;Mohamed;Bamba;Mohamed Bamba;C;83,25;6' 11.25'';84,75;7' 0.75'';225.6;94,0;7' 10'';115,5;9' 7.5'';6,2;9,75;10,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018
5;2018;1628965;Jaylen;Barford;Jaylen Barford;PG-SG;73,25;6' 1.25'';74,25;6' 2.25'';207.6;75,5;6' 3.5'';96,5;8' 0.5'';11,65;8,0;8,25;27,0;33,0;11,39;3,21;3,31;7.0;2-5;3-5;3-5;4-5;4-5;;;;;;4-5;2-5;1-5;3-6;3-5;3-4;3-4;3-4;;;;19-34;;2018
6;2018;1628966;Keita;Bates-Diop;Keita Bates-Diop;SG-SF;79,25;6' 7.25'';80,5;6' 8.5'';223.8;87,25;7' 3.25'';106,5;8' 10.5'';5,35;9,0;8,5;30,5;35,0;11,2;3,28;3,17;11.0;2-5;4-5;5-5;5-5;4-5;;;;;;3-5;3-5;1-5;3-5;4-5;1-4;1-4;3-4;;;;13-21;2-10;2018
7;2018;1628967;Tyus;Battle;Tyus Battle;SG;77,0;6' 5'';78,75;6' 6.75'';200.2;81,0;6' 9'';102,0;8' 6'';4,0;8,5;9,25;32,0;37,5;11,04;2,87;3,07;9.0;4-5;4-5;4-5;2-5;4-5;;;;;;4-5;4-5;4-5;2-5;4-5;3-4;6-8;7-10;;;;;;2018
8;2018;1628968;Brian;Bowen;Brian Bowen;SG-SF;78,25;6' 6.25'';79,5;6' 7.5'';202;82,25;6' 10.25'';103,5;8' 7.5'';7,6;9,0;10,0;30,5;34,0;11,58;3,33;3,28;0.0;2-5;3-5;3-5;3-5;2-5;;;;;;3-5;3-5;2-5;2-5;2-5;3-4;3-4;1-4;;;;17-29;;2018
9;2018;1628970;Miles;Bridges;Miles Bridges;SF;77,25;6' 5.25'';78,75;6' 6.75'';220.4;81,5;6' 9.5'';103,5;8' 7.5'';5,9;9,0;9,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018
