;SEASON;PLAYER_ID;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_W_SHOES;WEIGHT;WINGSPAN;STANDING_REACH;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT
0;2018;1628959;Rawle Alkins;SG;1.9;1.94;98.61;2.05;2.51;8.9;0.22;0.25;0.83;1.03;11.5;3.09;3.15
1;2018;1628960;Grayson Allen;SG;1.9;1.94;89.81;2.01;2.46;5.55;0.21;0.25;0.83;1.03;10.31;3.04;3.15
2;2018;1628961;Kostas Antetokounmpo;PF;2.06;2.1;88.36;2.19;2.79;5.0;0.23;0.24;0.75;0.89;12.48;3.48;3.21
3;2018;1628962;Udoka Azubuike;C;2.08;2.14;124.19;2.31;2.86;7.95;0.24;0.25;0.79;0.8;12.97;3.65;3.12
4;2018;1628964;Mohamed Bamba;C;2.11;2.15;102.33;2.39;2.93;6.2;0.25;0.26;-;-;-;-;-
5;2018;1628965;Jaylen Barford;PG-SG;1.86;1.89;94.17;1.92;2.45;11.65;0.2;0.21;0.69;0.84;11.39;3.21;3.31
6;2018;1628966;Keita Bates-Diop;SG-SF;2.01;2.04;101.51;2.22;2.71;5.35;0.23;0.22;0.77;0.89;11.2;3.28;3.17
7;2018;1628967;Tyus Battle;SG;1.96;2.0;90.81;2.06;2.59;4.0;0.22;0.23;0.81;0.95;11.04;2.87;3.07
8;2018;1628968;Brian Bowen;SG-SF;1.99;2.02;91.63;2.09;2.63;7.6;0.23;0.25;0.77;0.86;11.58;3.33;3.28
9;2018;1628970;Miles Bridges;SF;1.96;2.0;99.97;2.07;2.63;5.9;0.23;0.25;-;-;-;-;-
10;2018;1628971;Bruce Brown;SG-PG;1.92;1.96;88.27;2.06;2.5;3.75;0.22;0.22;0.83;0.97;11.11;3.44;3.2
11;2018;1628972;Troy Brown;SF;1.97;2.0;94.35;2.09;2.67;7.05;0.23;0.25;0.66;0.84;11.51;3.29;3.33
12;2018;1628973;Jalen Brunson;PG;1.85;1.89;89.99;1.93;2.44;6.7;0.21;0.23;0.74;0.94;10.59;3.11;3.15
13;2018;1628974;Tony Carr;PG;1.9;1.94;90.17;2.04;2.54;6.5;0.22;0.25;0.64;0.8;11.89;3.4;3.17
14;2018;1628975;Jevon Carter;PG;1.84;1.87;88.99;1.94;2.41;4.15;0.23;0.22;0.74;0.93;11.04;3.05;3.18
15;2018;1628976;Wendell Carter;C-PF;2.05;2.08;114.03;2.25;2.77;7.85;0.22;0.23;-;-;-;-;-
16;2018;1628978;Donte DiVincenzo;SG;1.92;1.94;90.99;1.98;2.48;5.0;0.21;0.23;0.88;1.07;10.72;3.12;3.11
17;2018;1628977;Hamidou Diallo;SG;1.94;1.98;89.36;2.12;2.62;4.45;0.22;0.23;0.83;1.03;10.53;3.14;3.1
18;2018;1628979;Trevon Duval;PG;1.87;1.89;86.64;2.04;2.48;5.2;0.22;0.25;0.86;1.05;10.93;3.09;3.18
19;2018;1629035;Carsen Edwards;PG;1.8;1.83;88.72;1.99;2.4;6.3;0.22;0.23;0.72;0.88;11.59;3.15;3.2
20;2018;1629037;Keenan Evans;PG;1.87;1.9;83.1;1.96;2.49;6.5;0.22;0.2;-;-;-;-;-
21;2018;1628980;Jacob Evans;SG-SF;1.94;1.97;90.54;2.06;2.6;6.5;0.23;0.23;0.71;0.9;11.11;3.14;3.2
22;2018;1628981;Bruno Fernando;C;2.05;2.08;105.78;2.24;2.77;5.25;0.24;0.25;0.74;0.89;12.19;3.03;3.23
23;2018;1628982;Melvin Frazier;SF-SG;1.94;1.98;89.9;2.18;2.67;7.9;0.24;0.24;0.79;1.03;11.24;3.08;3.08
24;2018;1628983;Shai Gilgeous-Alexander;PG;1.94;1.98;81.65;2.12;2.64;3.0;0.23;0.23;-;-;-;-;-
25;2018;1628984;Devonte Graham;PG;1.84;1.87;84.55;1.99;2.44;4.8;0.22;0.24;0.79;0.94;11.28;3.15;3.21
26;2018;1629036;Isaac Haas;C;2.17;2.2;137.44;2.26;2.83;12.55;0.25;0.27;-;-;-;-;-
27;2018;1628985;Devon Hall;SG;1.94;1.98;93.62;2.03;2.59;8.45;0.22;0.25;0.64;0.79;10.95;3.16;3.27
28;2018;1628986;Jaylen Hands;PG;1.87;1.9;81.19;1.97;2.49;5.0;0.2;0.2;0.8;1.0;12.11;3.16;3.13
29;2018;1628987;Kevin Hervey;PF;1.99;2.03;95.98;2.22;2.72;5.15;0.23;0.26;0.7;0.81;11.28;3.15;3.36
30;2018;1628988;Aaron Holiday;PG;1.82;1.85;84.82;2.02;2.46;6.4;0.22;0.22;0.65;0.84;10.96;3.22;3.27
31;2018;1628989;Kevin Huerter;SG;1.99;2.01;88.0;2.02;2.58;8.6;0.21;0.22;0.79;0.97;10.89;2.97;3.09
32;2018;1628991;Jaren Jackson;PF-C;2.08;2.11;107.05;2.27;2.79;7.2;0.25;0.25;-;-;-;-;-
33;2018;1628992;Justin Jackson;PF;1.98;2.0;104.05;2.21;2.67;8.9;0.23;0.24;-;-;-;-;-
34;2018;1628993;Alize Johnson;PF;2.01;2.03;98.25;2.05;2.62;8.1;0.22;0.25;0.64;0.79;11.83;3.28;3.38
35;2018;1628994;George King;SF-SG;1.95;1.98;99.16;2.12;2.58;7.25;0.23;0.26;0.79;0.99;10.75;3.08;3.29
