,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,VIDEO_AVAILABLE_FLAG
0,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101160,2022-04-01T00:00:00,LAL vs. NOP,L,39.516666666666666,13,23,0.565,3,8,0.375,9,12,0.75,0,8,8,4,6,1,0,2,3,9,38,-2,50.6,0,0,55.0,1,26,26,26,14,13,19,22,16,23,27,2,2,26,36,16,27,45,4,23,37,44,36,1,7,29,33,22,7,22,1
1,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101119,2022-03-27T00:00:00,LAL @ NOP,L,41.625,14,27,0.519,7,13,0.538,4,6,0.667,1,8,9,5,4,0,1,0,1,4,39,-9,56.3,0,0,62.0,1,26,26,26,6,8,6,34,2,2,9,26,24,37,17,16,20,33,15,40,20,1,6,36,4,41,22,22,7,8,1
2,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101072,2022-03-21T00:00:00,LAL @ CLE,W,40.60666666666667,17,29,0.586,0,4,0.0,4,4,1.0,1,9,10,12,3,1,1,0,0,5,38,9,71.0,1,1,64.0,1,1,1,1,7,3,2,15,55,52,55,26,37,1,17,13,14,1,27,23,20,1,1,28,7,11,4,1,1,6,1
3,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101061,2022-03-19T00:00:00,LAL @ WAS,L,35.88333333333333,16,29,0.552,4,10,0.4,2,3,0.667,2,8,10,6,2,0,0,0,3,4,38,1,57.0,1,0,58.0,1,26,26,26,39,4,2,27,10,9,24,45,44,37,8,16,14,21,42,40,37,1,36,36,7,24,20,1,7,15,1
4,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101051,2022-03-18T00:00:00,LAL @ TOR,W,44.68333333333333,15,26,0.577,2,7,0.286,4,7,0.571,4,5,9,7,3,0,2,0,2,7,36,-5,60.3,0,0,58.0,1,1,1,1,3,6,8,19,32,32,36,26,19,46,2,42,20,15,27,40,4,1,23,11,11,34,17,22,7,15,1
5,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101039,2022-03-16T00:00:00,LAL @ MIN,L,37.06666666666667,8,21,0.381,1,8,0.125,2,5,0.4,0,5,5,4,5,1,2,1,5,7,19,-19,35.0,0,0,35.0,1,26,26,26,29,47,30,51,46,23,51,45,29,55,36,42,45,45,9,23,4,26,53,11,52,49,55,22,7,55,1
6,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101028,2022-03-14T00:00:00,LAL vs. TOR,L,40.333333333333336,11,19,0.579,4,7,0.571,4,7,0.571,3,6,9,3,5,0,2,1,4,6,30,-21,46.3,0,0,50.0,1,26,26,26,8,31,39,16,10,32,5,26,19,46,4,34,20,50,9,40,4,26,46,19,28,51,42,22,7,33,1
7,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101019,2022-03-13T00:00:00,LAL @ PHX,L,30.2,10,20,0.5,5,11,0.455,6,7,0.857,0,7,7,6,4,0,1,2,0,5,31,-16,47.4,0,0,51.0,1,26,26,26,54,36,34,35,5,6,12,13,19,22,36,23,31,21,15,40,20,44,1,28,25,46,39,22,7,32,1
8,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022101004,2022-03-11T00:00:00,LAL vs. WAS,W,35.7,18,25,0.72,6,9,0.667,8,8,1.0,0,7,7,6,3,0,1,1,3,8,50,22,67.4,0,0,71.0,1,1,1,1,40,2,13,2,3,14,2,4,14,1,36,23,31,21,27,40,20,26,36,4,2,1,8,22,7,4,1
9,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100985,2022-03-09T00:00:00,LAL @ HOU,L,45.266666666666666,9,26,0.346,1,9,0.111,4,6,0.667,2,12,14,12,5,1,4,2,1,5,23,-17,67.8,1,1,60.0,1,26,26,26,2,41,8,53,46,14,53,26,24,37,8,2,2,1,9,23,1,44,6,28,47,47,7,1,1,11,1
10,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100959,2022-03-05T00:00:00,LAL vs. GSW,W,38.55,19,31,0.613,6,11,0.545,12,13,0.923,2,8,10,3,4,0,1,0,0,8,56,13,71.5,1,0,77.0,1,1,1,1,19,1,1,10,3,6,8,1,1,18,8,16,14,50,15,40,20,1,1,4,1,7,3,1,7,1,1
11,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100945,2022-03-03T00:00:00,LAL @ LAC,L,37.06666666666667,8,18,0.444,2,9,0.222,8,10,0.8,1,7,8,4,4,0,1,0,2,8,26,-27,40.6,0,0,42.0,1,26,26,26,29,47,48,45,32,14,46,4,7,23,17,23,27,45,15,40,20,1,23,4,38,55,49,22,7,46,1
12,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100931,2022-03-01T00:00:00,LAL vs. DAL,L,38.2,10,18,0.556,3,7,0.429,3,5,0.6,0,12,12,5,4,1,0,1,2,6,26,7,46.9,1,0,48.0,1,26,26,26,21,36,48,26,16,32,17,36,29,44,36,2,7,33,15,23,37,26,23,19,38,16,40,1,7,38,1
13,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100919,2022-02-27T00:00:00,LAL vs. NOP,L,35.583333333333336,13,23,0.565,1,4,0.25,5,5,1.0,0,6,6,3,7,2,2,1,2,4,32,-22,48.7,0,0,50.0,1,26,26,26,42,13,19,22,46,52,40,17,29,1,36,34,42,50,1,10,4,26,23,36,22,52,36,22,7,33,1
14,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100904,2022-02-25T00:00:00,LAL vs. LAC,L,35.68333333333333,6,18,0.333,2,8,0.25,7,8,0.875,1,10,11,3,6,1,1,1,1,6,21,-4,38.7,1,0,41.0,1,26,26,26,41,53,48,54,32,23,40,11,14,21,17,8,9,50,4,23,20,26,6,19,50,32,51,1,7,48,1
15,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100884,2022-02-16T00:00:00,LAL vs. UTA,W,39.71666666666667,14,23,0.609,3,8,0.375,2,2,1.0,1,7,8,6,3,2,0,1,1,3,33,7,54.6,0,0,54.0,1,1,1,1,13,8,19,11,16,23,27,45,49,1,17,23,27,21,27,10,37,26,6,47,17,16,25,22,7,23,1
16,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100854,2022-02-12T00:00:00,LAL @ GSW,L,38.35,9,27,0.333,3,10,0.3,5,9,0.556,3,12,15,8,4,0,0,2,3,5,26,-11,52.0,1,0,52.0,1,26,26,26,20,41,6,54,16,9,34,17,9,48,4,2,1,11,15,40,37,44,36,28,38,42,29,1,7,29,1
17,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100829,2022-02-09T00:00:00,LAL @ POR,L,36.693333333333335,13,22,0.591,3,7,0.429,1,1,1.0,0,7,7,7,6,3,0,0,1,4,30,-5,51.9,0,0,53.0,1,26,26,26,32,13,26,14,16,32,17,52,54,1,36,23,31,15,4,4,37,1,6,36,28,34,30,22,7,27,1
18,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100822,2022-02-08T00:00:00,LAL vs. MIL,L,34.51166666666666,11,19,0.579,3,7,0.429,2,4,0.5,0,5,5,8,4,0,0,0,4,3,27,-25,41.0,0,0,43.0,1,26,26,26,47,31,39,16,16,32,17,45,37,49,36,42,45,11,15,40,37,1,46,47,37,54,48,22,7,44,1
19,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100799,2022-02-05T00:00:00,LAL vs. NYK,W,39.928333333333335,13,24,0.542,2,7,0.286,1,2,0.5,3,10,13,10,3,1,0,2,3,6,29,12,59.6,1,1,56.0,1,1,1,1,10,13,17,29,32,32,36,52,49,49,4,8,5,6,27,23,37,44,36,19,35,8,18,1,1,21,1
20,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100718,2022-01-25T00:00:00,LAL @ BKN,W,34.45,14,21,0.667,2,8,0.25,3,3,1.0,0,7,7,6,0,3,2,0,1,3,33,10,65.4,0,0,58.0,1,1,1,1,48,8,30,5,32,23,40,36,44,1,36,23,31,21,55,4,4,1,6,47,17,10,10,22,7,15,1
21,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100700,2022-01-23T00:00:00,LAL @ MIA,L,39.86666666666667,12,22,0.545,1,8,0.125,8,11,0.727,2,9,11,4,3,2,0,1,4,9,33,-8,55.2,1,0,53.0,1,26,26,26,12,26,26,28,46,23,51,4,4,32,8,13,9,45,27,10,37,26,46,1,17,40,23,1,7,27,1
22,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100685,2022-01-21T00:00:00,LAL @ ORL,W,33.596666666666664,12,23,0.522,2,7,0.286,3,3,1.0,1,6,7,5,6,1,1,3,3,3,29,5,44.9,0,0,47.0,1,1,1,1,50,26,19,32,32,32,36,36,44,1,17,34,31,33,4,23,20,55,36,47,35,20,44,22,7,39,1
23,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100680,2022-01-19T00:00:00,LAL vs. IND,L,37.41166666666667,11,22,0.5,3,7,0.429,5,7,0.714,1,11,12,5,3,2,0,2,1,6,30,-20,54.9,1,0,54.0,1,26,26,26,24,31,26,35,16,32,17,17,19,35,17,6,7,33,27,10,37,44,6,19,28,50,24,1,7,23,1
