;player_name;team;games_played;minutes_played;minutes_per_game;total_points;points_per_game
376;Mikal Bridges;BKN;83;2963,1766666666667;35,700923694779114;1671;20,132530120481928
23;Anthony Edwards;MIN;79;2841,455;35,96778481012658;1946;24,632911392405063
535;Zach LaVine;CHI;77;2767,95;35,94740259740259;1913;24,844155844155843
401;Nikola Vucevic;CHI;82;2746,355;33,49213414634146;1447;17,646341463414632
282;Julius Randle;NYK;77;2737,2516666666666;35,54872294372294;1936;25,142857142857142
130;Domantas Sabonis;SAC;79;2735,555;34,62727848101266;1510;19,11392405063291
238;Jayson Tatum;BOS;74;2732,1966666666667;36,92157657657658;2225;30,06756756756757
468;Spencer Dinwiddie;BKN;79;2725,335;34,497911392405065;1369;17,329113924050635
149;Evan Mobley;CLE;79;2715,2616666666668;34,37040084388186;1277;16,164556962025316
113;Dejounte Murray;ATL;74;2693,395;36,39722972972973;1515;20,472972972972972
110;DeMar DeRozan;CHI;74;2681,61;36,237972972972976;1816;24,54054054054054
458;Scottie Barnes;TOR;77;2677,55;34,77337662337663;1179;15,311688311688311
175;Harrison Barnes;SAC;82;2662,0383333333334;32,46388211382114;1230;15,0
418;Pascal Siakam;TOR;71;2652,036666666667;37,35262910798122;1720;24,225352112676056
53;CJ McCollum;NOP;75;2649,1683333333335;35,32224444444444;1568;20,906666666666666
154;Franz Wagner;ORL;80;2608,7266666666665;32,60908333333333;1485;18,5625
210;Jalen Green;HOU;76;2602,155;34,23888157894737;1683;22,144736842105264
29;Bam Adebayo;MIA;75;2597,9933333333333;34,63991111111111;1529;20,386666666666667
495;Trae Young;ATL;73;2540,74;34,80465753424657;1914;26,21917808219178
155;Fred VanVleet;TOR;69;2534,9866666666667;36,73893719806763;1335;19,347826086956523
52;Buddy Hield;IND;80;2481,875;31,0234375;1344;16,8
432;RJ Barrett;NYK;73;2475,465;33,910479452054794;1431;19,602739726027398
267;Jordan Poole;GSW;82;2458,0933333333332;29,976747967479675;1675;20,426829268292682
273;Josh Hart;NYK;76;2454,025;32,28980263157895;743;9,776315789473685
